text,intent,tone
"Decent enough, recognisable Marlborough in style, not as expressive as some.",quality_judgment,neutral
酸，气味也奇怪,taste_profile,frustrated
Citrus and strawberries,taste_profile,neutral
"Hm, right up my alley. Lemon confit, pineapple confit, lime, the acidity just goes to complement the rest in this case. Very very good",taste_profile,positive
$12.95 nice quiet rich and smooth,price_comment,positive
An average wine. Great everyday drinker,quality_judgment,neutral
"Wonderful, robust, amazing!",quality_judgment,cheerful
The first decent Czech red wine I’ve had,quality_judgment,positive
"Very dry taste with medium bubbles, acidity is very well balanced including light tones of green apple. The taste is creamy though.",taste_profile,neutral
Crisp with tropical fruit and nice minerality. Great wine with seafood,pairing_suggestion,neutral
A grower! Fruit forward with strawberry and watermelon and then a lovely little tangy tartiness that zips through.,taste_profile,cheerful
Not a good year for Burgundy,quality_judgment,frustrated
"Havde helt glemt hvor dejligt den smager... ærgerligt det var den sidste på hylden. Syre, mørke bær, men alligevel dejlig rund i smagen.",taste_profile,cheerful
Nice if u like coffee. Good body and dark red,taste_profile,neutral
"Ottimo con maiale nero dei nebrodi e funghi, davvero delizioso!",pairing_suggestion,cheerful
"Prowein 2019 #247

Intense interesting raspberry banana with vanilla and an amarena soup

Mouth is silky smooth with a really lovely mouthfeel with a great flavour persistence syroup amarenas with a great exit and aftertaste

Light elegant and powerful

4.25",taste_profile,positive
Nice sweetness and acidity.... but sweetness took over and I hoped the opposite 🤷🏽‍♂️,taste_profile,frustrated
"Dark salmon-pink color, elegant, fine bubbles. Stawberry, raspberry, vanilla, yeasty fragance on the nose. Complex, ripe taste, berries and yeast on the palate. 55% Pinot Noir, 45% Chardonnay. Dosage: 8 g/l.",taste_profile,positive
A nice Carmenere with aromas of cherries and black pepper,taste_profile,neutral
"Crisp banana melon peach 
Excellent balance between acidity and alcohol",taste_profile,positive
"Sehr schön! Feinfruchtig, würzig, mit Röstaromen und Vanille… Top PLV. Detaillierte Bewertung siehe 30. April 2021. Heute getreu dem Motto: eine gute (Wildschwein–) Soße benötigt einen guten Wein 🍇🍷🇫🇷",price_comment,cheerful
average local Swiss wine. Priced fairly.,price_comment,neutral
Absolutely lovely champagne!,quality_judgment,cheerful
Dry. Easily one of my favorite Pinots out there. Delicious.,quality_judgment,cheerful
Brent’s favourite brant. Ate with cavier April 2019. Expected taste for price. Prefer over verve.,price_comment,polite
"Тонкие нотки этила. Возьмите, что угодно другое из этой ценовой категории и не прогадаете. Только пригубили и убрали на черный день подальше.",price_comment,frustrated
Smokey to start with a plum finish. Good wine for the price!,price_comment,cheerful
Suprisingly good. Dried fruit and some minerals.,taste_profile,cheerful
"Smooth Simi dry, Berry delight, I like the light wood notes being aged in French and American oak barrels.",taste_profile,cheerful
"Я под кайфом 🥴 
Огонь 🔥 Совиньон",quality_judgment,cheerful
It was good for the price,price_comment,neutral
タンニンが強く美味しかったです。,taste_profile,cheerful
"Frutado, acidez leve e taninos macios. 

Ótimo custo benefício! Agradou a todos por aqui",price_comment,cheerful
Toasted almond note with grapefruit and green apple acidity on the palate.  Rich mouthfeel with a long and elegant finish,taste_profile,neutral
"Sur le fruit, léger mais intéressant. Petit goût menthol/poivre à la mise en bouche. Un vin sympa 👍",taste_profile,cheerful
"Blåbärssylt, ek, smörkola i finishen.
Gott!

Ludvigs födelsedag",taste_profile,cheerful
"Simple, crisp and perfect for summer. Every flavor is light - mineral and citrus. Lovely, lovely bottle. It’s simple but highly drinkable.",quality_judgment,positive
雖然不貴 但相對DOCG 等級少二個層次,quality_judgment,neutral
"Vino para tomar con gaseosa, aún así aún se puede beber un poco pero poco",quality_judgment,frustrated
Impossible de finir la bouteille. Trop de sucre résiduels? Au début c est plaisant ensuite ca sature. Décevant.,quality_judgment,frustrated
Full bodied great match with braised beef short rib,pairing_suggestion,neutral
"Lovely drop, good drinking. Comes on strong for a pinot.",quality_judgment,positive
Gott och fruktigt med inslag av päron.,taste_profile,cheerful
Maybe it was good?  Couldn’t taste anything after contracting Covid but the mouthfeel was quite nice. 😅,quality_judgment,cheerful
"Complex, many flavors, bold body, heavy fruit, dark, thick",taste_profile,neutral
"This is an excellent wine. Entry level by Domain A out of Tasmania. Red berries, a touch of sweetness and some earthy tannin in the finish. Really enjoyed this one!",restaurant_lookup,cheerful
"Отличное красное сухое вино. Мягкий вкус, приятный запах винограда",taste_profile,cheerful
"Strawberry, cherry. Light and refreshing. Great value.",price_comment,cheerful
"Very fruity, hints of blackberry and raspberry. Not tannic. Not overly acidic or sweet. Very strong, forward flavor. Not my style, but for lovers of fruity wines I imagine this is pretty good.",taste_profile,neutral
"Full, round, halfdry-ish red wine with notes of vanilla, oak and blackberries. Excellent wine to drink by itself and also enjoyable with food :)",taste_profile,cheerful
Tannic. Spicy. Oak,taste_profile,neutral
"Cool, weisser PM. Beerig, frisch, breit!",taste_profile,cheerful
"Deep ruby, just starting to fade at the rim.  Nose of blackberry jam and tobacco, black cherry, kirsch, chocolate.  Smells good!  The palate adds a load of spice and is quite bitter.  Tobacco prominent on the palate, wet leaves.  Still very high tannins.  High(-) acidity.  I found the palate a bit challenging, although Aglianco is a style I usually really like.  I'd try it again, with a really long decant.",taste_profile,neutral
"Really interesting, really sweet. Some earthy notes to it as well. Went well with the sticky toffee pudding.",taste_profile,neutral
"An amazing cava, I strongly recommend it",quality_judgment,positive
"Delicious Pepper, cherry, and leather flavor",taste_profile,neutral
"3.75 💫🍷 🇮🇹 
Cabernet de la Toscana.

De un púrpura vivo y capa media a baja; va dejando finas lágrimas.
Aromas frutales y florales. Cereza, ciruela, mermelada de frutos rojos, algo de chocolate y tabaco.
En boca es ligero y fresco. Suaves frutas envueltas de los taninos y una buena acidez. Dejando un final algo especiado de persistencia media.

La relación precio calidad me parece muy buena. Acompaña muy bien estos días soleados con piqueos o alguna pasta.
Fácil de beber.
✍🏼🧔🏻🍷",taste_profile,cheerful
"super smooth, blackberry and brown sugar, not super bold and just a bit dry",taste_profile,neutral
"Had better but easy to drink.  Aromas if red fruit, spices and herbs. Shares the real history of Chilean wine. Pipeno.",quality_judgment,neutral
"Some apple, peach hints & lots of bubbles 😉👌",taste_profile,neutral
"The Heitz Cellar Trailside Vineyard has a dark elegance. The nose offers you dark fruit, with leather & vanilla. Leathery, tobacco, & dark chocolate on the palate, but also so much raspberry, black cherry, & blackberry. Full bodied & incredibly well balanced mouthfeel. The tannins are quite smooth & not too intense. While this cabernet has a multitude of dark fruit flavors, it is lighter than the typical Napa Cabernets. As delicious as this wine was now, it’s still young. 
$125
✨",taste_profile,positive
"This wine tastes juicy and smooth!84%Cabernet Sauvignon and 16% Merlot from Horse Heaven Hills Vineyards, Columbia Valley, Washington. The wine spent 9 months in 48% new/52% used French and American oak barrels.",taste_profile,cheerful
Crispy and citrus nose.  Clean crisp and easy to drink!  Skip the Champagne once and try this Cava.  Great wine for the price.,quality_judgment,cheerful
"Super value.  Needs to be open and served at room temperature and you have a wonderfully smooth, black berries slightly spiced.   d ca",price_comment,neutral
"Nice Pinot noir, reasonably priced",price_comment,neutral
"Very interesting wine - light ruby color, high acidity, pleasant finish with slight bitterness... nothing common with typical Garnacha from Navarra..",taste_profile,neutral
"I like this one, a distinct Syrah blend (87%) plus Grenache, Mourvèdre, Cinsault, Viognier and Merlot from Columbia Valley produced in partnership between Chateau Ste. Michelle and renowned French producers from Rhône Valley. The nose exhibits aromas of blueberry coulis, black cherry jelly and black cherry with floral notes and a dash of vanilla and smoke. Flavours of violet, elderberry, blackberry, sweet tobacco, baking spices and herbal notes drawn tight against the vivid acidity and assertive tannins.",taste_profile,neutral
Excellent vin,quality_judgment,neutral
Complex red! Lots of flavor! Enjoy!,quality_judgment,cheerful
"A fine zin with a strong wood body of the barrels. Cherry and some berries, fruit and lasting aftertaste. It goes perfectly with some food because of the smoky mood",taste_profile,neutral
"Very untypical of one of my personal heroes-this one has a hyper tropical jellybean nose.
However it reins itself in on the pallets and becomes balanced and drinkable as all the other Pato products. However The artificial yeast feel transfers to the palate. Ones tongue is coated with the sense of a sorbic aid￼.",taste_profile,neutral
"Good value for money. A carmenere with  Aconcágua terroir notes that brings balanced tannins and acidity, good ripeness, fruity. Interesting always to have a bottle always in cellar for day by day.",quality_judgment,positive
"Light ruby red color with a scent of black currant, oak, forest floor with a whiff of alcohol. The wine itself is on the lighter, fruity side with sour cherries, a hint o vanilla and poppy seed with well embedded tannins and still slightly prominent alcohol (which steals this otherwise good wine a higher rating). Good value for money and nice wine for game dishes.",taste_profile,positive
Pleasant.  Ripe red fruit.  Chocolate and vanilla and a little oak.  Very good value.,taste_profile,positive
A bit too fruity for me,taste_profile,neutral
